id,first_name,last_name,rank,birthdate
210939483,Veronike,Sayburn,Corporal,21.04.1993
318733779,Camey,Bedells,Lieutenant,04.11.1983
200257272,Sammy,Pentelow,Corporal,19.07.1997
335518463,Rosanne,Clarricoates,General,04.06.1980
317899278,Neila,Van de Velde,General,17.11.1985
259474417,Marget,Kemer,Sergeant,28.08.1988
272384020,Marillin,Tuley,Private,21.08.1990
320361086,Friederike,Fiddyment,Corporal,19.08.1982
379372552,Dare,McKeefry,Sergeant,22.08.2001
265540575,Simeon,Bernadzki,Private,29.12.1998
316817114,Ephrem,Ezzle,Lieutenant,28.03.1985
204248457,Etty,Stratley,Sergeant,14.01.1993
384295384,Winnah,Gladeche,General,20.01.2001
359540138,Sioux,Padley,Private,04.09.1993
295551610,Joelynn,Vieyra,Major,16.01.1990
300796391,Heindrick,Dearl,Private,17.10.1982
391615586,Barby,Morforth,Captain,11.12.2001
220098572,Winona,Durward,General,26.04.1983
212486535,Lettie,Ivashinnikov,Major,26.05.1997
395488778,Cilka,Lampett,Lieutenant,17.11.1991
266445149,Skylar,Bellini,Lieutenant,22.08.1984
304285527,Christy,Shuxsmith,Sergeant,10.04.1991
373010301,Raphael,Arkin,Lieutenant,03.08.1996
371702846,Maury,Harry,Corporal,12.02.1999
207039313,Laurene,Bengtsen,Corporal,26.05.1983
367954699,Catharina,Rentz,Major,08.06.1993
229384841,Arnaldo,Tenney,Colonel,23.10.1997
310184020,Anissa,Carbonell,Colonel,07.01.1991
382151098,Isobel,Truran,Sergeant,08.02.1990
345286255,Emmaline,Muffett,Lieutenant,15.01.1990
314326191,Benita,MacCartan,Lieutenant,16.11.1996
248690235,Frankie,Negus,Captain,19.11.2000
224700233,Cointon,Janu,Lieutenant,15.03.1999
217219961,Elwood,Silverston,Captain,16.11.1997
283740532,Bria,Ellph,Captain,12.12.1982
361575587,Ambrosius,Glazyer,Major,14.01.1985
276197396,Emmey,Cohen,Colonel,16.03.2002
284808427,Rebecka,Hailston,General,30.11.1987
220360403,Quentin,Budget,Private,01.05.1985
261791763,My,Casham,Captain,18.07.1993
211607938,Herschel,Roycraft,General,21.06.2000
293806695,Noel,Delyth,General,10.03.1992
293363749,Rhonda,Gherardelli,Captain,04.08.2001
202262081,Jabez,Phelan,Private,18.12.1984
256514846,Hillary,Ladel,Captain,04.01.1982
324778772,Gran,Folbige,Colonel,09.01.1983
397555975,Correna,Ragate,Colonel,10.01.1994
395931486,Marris,Stoker,Private,30.03.1984
263773252,Maurits,Finlan,Captain,18.01.1992
301434640,Gerick,Domerc,Colonel,08.06.2003
377796619,Josy,Sweeney,Sergeant,30.10.2001
373110350,Chiquita,Byars,General,27.10.1984
216754654,Edgard,Rittelmeyer,Private,30.07.1982
333773862,Teodor,Semper,Colonel,30.07.1994
338312631,Georg,Tourle,Captain,30.12.1991
377921159,Loria,Dello,Lieutenant,11.03.2003
393814153,Salomo,Pinfold,General,12.02.1996
233073266,Aurelie,Plowman,Sergeant,12.11.1991
332326972,Wylie,Jesper,Sergeant,24.11.1982
376186331,Mildrid,Henrot,Lieutenant,25.03.1996
225026778,Cacilie,Renner,Private,07.04.2000
282400795,Daisey,Indge,Corporal,30.04.1992
312169232,Korry,Fitch,Colonel,20.04.1990
242783287,Allie,Shefton,Captain,09.04.1993
230645399,Analise,Vairow,Lieutenant,22.09.1995
284542188,Dion,Stocken,General,22.09.1985
313156475,Neile,Blizard,Colonel,22.04.1987
306476518,Adrian,Masdin,Lieutenant,08.11.1986
274567928,Rod,Tatlock,Colonel,28.11.1984
365329806,Scarlett,Tombleson,Major,29.12.1998
397217144,Adelaida,Weldrake,Colonel,12.05.1991
232158523,Fraser,Raith,Private,24.07.1981
263306372,Beniamino,Ardling,Colonel,02.05.1991
368783843,Sally,Saddington,General,25.09.1981
238535952,Everett,Tibald,Major,02.08.1998
246155619,Ainsley,Ackrill,Lieutenant,22.03.1997
373075314,Brandi,Ferraraccio,Lieutenant,07.05.2000
319249060,Carrol,McCaughen,Sergeant,24.04.1982
366740403,Faulkner,Braksper,Corporal,09.04.1987
318249490,Giulietta,Ghio,Captain,23.06.1984
266747526,Claudette,Touret,Corporal,08.04.1992
396925731,Edwin,Jewkes,Private,13.01.2003
338056009,Lonee,Buttle,Corporal,05.03.1982
208586019,Karia,Hincham,Sergeant,07.06.1982
333835978,Rhona,Reiners,Colonel,25.03.2002
219574223,Pat,Cardillo,Colonel,29.03.1984
285764748,Waylen,Brymham,Lieutenant,10.08.1983
335628947,Cly,Gabbitis,Captain,12.03.1997
259169287,Tate,Gurdon,Colonel,16.06.1992
389876311,Bud,Dosdill,General,19.06.1990
248169596,Lilian,Tregenna,Sergeant,05.07.1999
376011584,Linn,Pretious,Major,03.03.1996
245331396,Bryn,Deboy,General,08.05.2001
236682255,Cob,Hackin,Captain,30.01.1989
309385118,Carroll,Trimmell,Sergeant,11.06.1995
372245985,Mayne,Peplow,Captain,14.09.2003
368155455,Gauthier,Cursons,Lieutenant,17.05.1986
286781734,Orelie,Husby,Private,05.08.1990
294470263,Jasun,Verey,General,11.06.1981
393426172,Earvin,Darton,Sergeant,07.12.1992
372998106,Tessie,Sterndale,Colonel,16.10.1990
319047186,Shaun,Killough,Private,08.01.1997
328678456,Karel,Facchini,Colonel,15.06.1996
390446813,Asher,Antunes,Corporal,07.01.1980
251473876,Maximilian,Merington,Private,12.01.1980
255543002,Ricoriki,Algy,Private,24.02.1990
278514293,Eddi,Hillam,General,13.08.1986
332627677,Bondie,Whaplington,Major,23.12.1984
208448726,Dinnie,Mattosoff,General,31.05.1980
242215174,Gisele,Stieger,General,17.06.1987
222932554,Bibbie,Goalley,Colonel,14.05.1998
288906503,Hewie,McIlwraith,Captain,30.09.2000
242284292,Karlis,Merrell,Sergeant,08.03.1996
213315031,Dorie,Daout,Private,26.06.1997
289531061,Quill,Wiffill,Sergeant,12.05.1997
225805571,Delilah,Duggon,Private,20.03.1992
332331226,Agustin,Rodnight,Sergeant,26.02.1997
383141349,Carola,Milsom,Colonel,03.11.1993
297035013,Garnet,Piser,Sergeant,03.09.1988
271292662,Jarred,Trowl,General,09.07.1991
281350965,Gian,Colclough,Sergeant,20.12.1999
218040824,Yelena,Curzon,Captain,08.12.1997
318671314,Anny,England,Sergeant,25.07.2000
292237699,Ricard,Bartolomeoni,Private,04.12.1995
385046080,Paula,Cissen,General,28.05.1983
296407602,Elna,Casbourne,Private,19.06.2000
217409233,Kaycee,Mostyn,Captain,24.05.2000
306112908,Odilia,Longfut,Major,20.05.1984
275831961,Sylvia,Chandlar,Colonel,21.12.1992
211521123,Kristyn,Ferri,Sergeant,24.11.2002
345865245,Amandie,Dunbavin,Corporal,11.07.1996
392889533,Darrick,Dumphy,Sergeant,27.11.2001
234984060,Myrah,Goodswen,Colonel,29.10.2003
248341037,Tedman,Kearney,Corporal,05.07.2001
217022192,Manfred,Jansen,Captain,17.05.1986
258149052,Eilis,Heigold,General,01.01.1987
317296920,Neysa,Mellon,Lieutenant,08.02.1996
322449190,Terrell,Pither,Captain,10.03.1980
360828946,Rudolph,Gianelli,Colonel,18.04.1999
333559986,Yevette,Kubatsch,Colonel,22.11.2002
367714579,Oates,Dumphy,Lieutenant,26.09.1995
207710374,Koralle,Godwyn,Colonel,17.01.2002
253517082,Gisella,Vaun,Major,30.04.1999
379139542,Forrest,Abela,Sergeant,06.11.1994
258182394,Alphonse,Westell,General,17.06.2003
283434229,Clara,Burthom,Corporal,16.10.2000
313452626,Dyanna,Glyne,Private,10.06.1984
361952349,Winn,Banghe,Sergeant,21.07.2001
362279899,Eleanore,Grevatt,General,20.03.1994
353423167,Carey,Casseldine,Corporal,29.04.1989
389437960,Charmaine,Nortunen,Lieutenant,06.05.2002
396272770,Charleen,Thebeaud,Sergeant,25.03.2003
318491566,Celka,Lidgertwood,Sergeant,22.07.1996
370414685,Reinhard,Lamers,Lieutenant,14.06.1988
226311528,Tally,Ritmeier,Corporal,26.11.1997
208188533,Amber,Gunton,Sergeant,10.12.1994
318153502,Biron,Gerry,Sergeant,30.10.1998
245765352,Phillipe,Theodore,Private,18.01.1984
283761508,Read,Massen,Major,14.09.1982
369691820,Hedi,Gullam,Major,09.12.2001
235947953,Reena,Ewen,Private,01.06.1992
277622076,Adan,Dykas,Sergeant,10.10.1994
354733446,Sunny,Nolleth,Sergeant,14.08.1982
287318682,Terese,Heustice,Major,03.08.2001
369240014,Novelia,Matterdace,Major,18.08.2002
203143823,Marybelle,Fonzone,Colonel,01.09.1984
220738772,Rita,Killimister,Colonel,09.06.1995
381780312,Marshal,Judkin,General,10.08.1990
306597306,Etienne,Luisetti,Major,26.03.2001
202609997,Kassi,Burnel,Captain,13.01.1994
337499694,Stanly,Treversh,Private,07.01.2001
394466711,Lynna,Loosmore,Corporal,31.03.1983
225275338,Celestyna,Das,General,20.08.1981
272877011,Darryl,Hegge,Lieutenant,25.12.1986
377997084,Steffane,Cundict,Captain,10.07.1981
383146514,Roz,Heaford,Private,15.08.1981
261612941,Lemmy,Snalom,Lieutenant,13.05.1981
368115320,Rivalee,Weavill,Lieutenant,17.06.1983
345298260,Alphonse,Barus,Colonel,03.04.1989
237960278,Harriet,Harms,Colonel,13.11.1990
364419310,Charline,Yurinov,Colonel,28.12.2001
340502089,Giustino,Skippings,Sergeant,24.11.1982
290846028,Liv,Hardan,Private,25.07.2001
257876572,Osborne,Mosedall,Colonel,25.02.1985
369016068,Susana,Reader,Lieutenant,03.04.2003
336597549,Annadiana,Castella,Private,07.05.1982
299828181,Brodie,McTear,General,26.05.1995
235557961,Colene,Lacrouts,Captain,10.11.1999
283492160,Krystalle,Camilli,Corporal,05.02.1990
379214076,Hugues,Kidwell,Corporal,20.04.1993
300483849,Junia,Stowe,Lieutenant,23.01.1999
211370297,Meg,Spoward,Colonel,27.02.1989
347344328,Aurea,Checcuzzi,Lieutenant,15.06.1988
301522752,Edd,Lynam,Corporal,12.10.1985
221485074,Anders,Miere,Colonel,08.05.1987
242351401,Tuesday,Wilbraham,Colonel,29.06.1982
320248553,Nils,Ronchetti,Sergeant,29.04.2001
374048613,Jacob,Cripps,Sergeant,04.02.1985
234391026,Chrysa,Baack,Major,19.08.1984
269675504,Rayna,Petre,Sergeant,19.01.1983
267517965,Jayme,Compfort,Captain,07.01.1981
299034698,Sergei,McLean,Captain,17.08.1981
266756172,Iorgo,Figura,Private,05.07.1983
253867228,Barbe,Callaway,Lieutenant,19.05.1988
228115379,Alon,Redmille,Corporal,19.02.1997
291253848,Ignaz,Kettel,Captain,11.03.1990
246457178,North,Ziehm,Lieutenant,23.07.1987
378054448,Kerry,Studders,Captain,22.06.2000
356112409,Mohandas,Prescote,Major,19.03.1999
307133321,Aldous,Shapiro,Private,02.12.1982
315126730,Tammi,Linn,Private,15.07.1989
339508037,Waring,Garrigan,Captain,05.10.1989
296769348,Brewster,Trevance,Major,09.06.1996
266014264,Claudian,Pinke,Captain,04.04.1992
288621954,Ferd,Wahlberg,Private,27.06.1999
241988269,Vivien,Dobrowski,Captain,11.12.1990
219965661,Rossy,Mangan,Major,13.02.1980
250005671,Papagena,Sorton,Captain,09.11.1996
306177521,Sula,Borth,General,17.06.1982
330942224,Merle,Guynemer,Major,13.11.2001
249121769,Jenine,Barthot,Lieutenant,05.10.1980
263040929,Cristionna,Killelea,Captain,06.05.1982
333900275,Kelsey,Futty,Lieutenant,12.04.2000
306473255,Concettina,Canty,Captain,19.11.1995
252157813,Douglass,Kinny,Colonel,11.02.1998
355472401,Farlee,Seefus,Major,17.01.1989
201223241,Anallese,Minchella,Private,07.08.1996
356211147,Andeee,Randales,General,22.08.1994
211974501,Torey,Pitcaithley,Private,09.04.1997
228064589,Waite,Aslie,Captain,18.04.1998
316403466,Rice,Simoens,Corporal,29.07.1981
303351352,Anabelle,Brugmann,Private,12.03.1998
258114104,Any,Poletto,Major,20.02.1988
324512804,Kelley,Bowller,Lieutenant,04.06.1984
204726159,Birdie,Salman,Lieutenant,13.04.1990
202176818,Jeralee,McMichell,Colonel,14.11.1999
362562760,Harold,Kosel,Private,17.12.2000
258154389,Deonne,Farge,Captain,02.12.1983
362099046,Alonso,Grute,Colonel,03.05.1987
285591057,Nate,Dorre,Private,23.07.1981
215910601,Simonne,Juanes,Major,17.08.2002
208280328,Dore,Challinor,Lieutenant,29.12.2002
266612834,Fanny,Triner,Captain,27.10.1984
204697038,Micki,Castro,Captain,21.05.1985
337177477,Ab,Manneville,Private,12.11.1989
294942657,Curr,Cayle,Colonel,16.03.2001
375835167,Hestia,Nicolls,Lieutenant,19.12.1981
279282410,Lindsey,St. Louis,Private,20.06.1995
200313811,Richmond,Durtnal,Private,26.01.1993
255399546,Eddi,Stockey,Colonel,10.02.1984
280015404,Aloin,Wanjek,Lieutenant,09.06.1986
200473707,Lennard,Secrett,Colonel,01.01.2003
377781748,Prudy,Greatorex,Corporal,19.11.2000
375892648,Hazel,Mingotti,Corporal,25.09.1987
305122832,Sally,Stockford,Lieutenant,05.05.1992
232037345,Tove,Cicccitti,General,17.02.1996
345265049,Maurine,Christer,Private,26.03.1984
390961408,Daven,Schwartz,General,01.11.1993
231096004,Margaret,Burdess,Major,06.05.1984
202506383,Eli,Champneys,Captain,26.11.1992
229582437,Hannah,Balducci,Private,03.10.1992
315399133,Melamie,Landsberg,Corporal,27.11.1992
395567551,Venus,Adriaens,Lieutenant,29.06.1980
284300779,Marylee,Barrabeale,Captain,31.08.1996
362587786,Niven,Beckmann,Private,24.06.1982
308712470,Juliette,Dawidowitsch,General,15.08.1987
316938669,Cristy,Hucker,Captain,27.12.1991
327466886,Yance,Rookwell,Major,22.04.1984
352406342,Perrine,Beesley,Private,14.01.1993
339799499,Abbey,Emblin,Captain,26.07.1984
271031383,Henry,Couling,Private,21.01.1984
381339784,Lek,Calcott,Sergeant,25.08.1999
376444368,Gordie,Beaford,Captain,23.08.1980
250344291,Kristine,Kemell,Corporal,11.08.1988
247077560,Tucky,Cheevers,Major,01.02.1987
334144245,Andria,Briance,Corporal,30.03.1980
317457927,Lawry,Feasey,General,17.11.1986
286506962,Emory,Vakhlov,Sergeant,05.05.1999
278310514,Evie,Ivel,General,22.05.1996
300849979,Anett,Armytage,Private,24.08.1983
227146613,Jandy,Bernuzzi,General,04.06.1998
399429753,Drucy,Rodolphe,General,16.01.1996
222831659,Kylie,Tamplin,Sergeant,27.01.2001
260662391,Thorvald,Amesbury,Sergeant,08.03.1986
239169856,Aldon,Czyz,Corporal,02.04.1998
300433417,Rickert,Gelder,Sergeant,28.11.1989
251538887,Wittie,Candy,Colonel,16.10.1993
281283799,Rozalin,Lapenna,General,19.05.1988
299880973,Dania,Busain,Private,13.04.2001
370443105,James,Chazerand,Major,05.08.1989
379808603,Barbara,Vasyunichev,Corporal,26.01.1994
294348574,Judy,Persitt,General,13.03.1994
393978612,Ferguson,Andreoletti,Sergeant,04.12.1988
250750869,Lira,Stowell,Sergeant,21.08.1982
210845827,Virgie,McIan,Colonel,30.08.1991
309820797,Carlotta,Steffans,Colonel,30.04.1999
386850983,Elsinore,Salmoni,General,30.10.1992
301833832,Sephira,Liver,Lieutenant,09.04.1982
361994811,Deborah,Youdell,Corporal,20.04.1997
351193035,Frederigo,Tilby,Sergeant,13.05.1984
376252916,Robyn,Masding,Corporal,01.02.1989
285282479,Odie,Penwright,Sergeant,23.10.2002
278222021,Alvira,Faltskog,Major,29.07.2002
383952335,Ozzie,Arundale,Major,21.12.2001
221361227,Lyn,Shillito,Lieutenant,28.06.1992
274160886,Lissi,Pacht,General,03.12.1980
300786395,Shandeigh,McEnhill,Sergeant,31.01.1991
252867096,Bev,Lazer,Private,29.10.1984
244569777,Svend,Vann,Colonel,19.11.1987
205893325,Silvano,Dakhov,Major,28.02.2002
211357219,Clayson,Kienlein,Major,22.07.1984
213113355,Hermia,Willmot,Private,26.08.1992
237778114,Rollo,Schimke,Corporal,05.01.1982
244493407,Lynea,Dearlove,Lieutenant,30.06.1993
325735592,Culver,Allatt,Sergeant,25.03.1989
272748906,Romola,Whate,Major,04.08.1983
283071208,Julina,Ohrtmann,Lieutenant,27.06.1994
296538924,Frankie,Dabinett,Captain,09.03.1999
393547848,Beulah,Ashbe,Major,26.11.1988
309640599,Ginelle,Cronin,Private,08.05.1993
307570440,Gallard,Siely,Colonel,13.07.1999
239379314,Claudelle,Lissaman,Captain,16.10.2000
233082662,Ado,Passo,Corporal,04.05.1984
203924458,Catharina,Hurdman,Corporal,23.02.1984
273317894,Violetta,Olwen,Major,01.06.1982
257145485,Aida,Proffer,General,08.02.1984
344643982,Shelley,Cino,Major,13.10.2003
233331336,Gladi,Vidineev,Corporal,31.12.1982
231696592,Rebeka,Vlies,General,08.12.1981
380339273,Derry,Enston,General,15.07.1983
311020193,Gelya,Dan,Corporal,06.06.1989
333197417,Jesus,Aronow,Sergeant,08.06.2000
240767084,Myrna,Ginnell,Major,01.08.1996
266346339,Lizette,Chastagnier,Corporal,02.06.1991
325256753,Benedikt,Tarney,Captain,26.11.1984
328026732,Grazia,O'Caherny,General,15.08.1981
398208315,Torey,Tuxill,Lieutenant,24.11.1984
364477521,Justina,Haselup,Sergeant,07.05.2002
266739488,Cobby,Silversmidt,Captain,08.07.1997
247243857,Donny,Duran,General,23.12.1991
241010968,Barbaraanne,Crocken,Captain,18.01.1996
339622049,Ingelbert,Klainman,Captain,17.05.1980
399099376,Izak,McMenamin,Major,01.10.2000
346897127,Ring,De-Ville,General,26.03.2000
372886275,Rosemary,Philipet,Corporal,30.03.1993
303671412,Kory,Cokayne,General,21.01.1985
320470995,Jessika,Bende,Colonel,12.08.1997
370128352,Flossie,Dacke,Private,03.08.1996
263968821,Gertrudis,Murford,Major,09.03.1997
364542944,Thorstein,Chazerand,Corporal,15.02.1990
250453465,Berk,Andor,Private,04.08.1981
383860133,Rozele,Kellegher,Lieutenant,18.01.1993
200387058,Demetris,Leavold,Corporal,09.03.2001
326277215,Agnella,Milington,Sergeant,03.06.1982
236452747,Lidia,Doughartie,Sergeant,26.02.1999
227414161,Cale,Jeffree,Sergeant,07.04.1992
313956555,Mason,Giddy,Captain,13.10.2002
254672187,Brose,Corbishley,Major,23.06.1984
363827194,Lauren,Aime,Captain,09.04.1982
303705104,Roxana,Alekseev,Colonel,25.01.1996
301842802,Jacynth,Perle,Sergeant,14.03.1987
274223134,Briney,Lote,Private,27.12.1994
307630528,Amalia,Briers,Colonel,28.10.1983
343316197,Sybil,Palfrie,Colonel,25.12.1995
356938392,Ivan,Hevey,Corporal,28.04.1992
283259618,Stephi,Connar,Corporal,03.01.1988
309371344,Lonny,Redolfi,Captain,21.05.2001
368479535,Julianna,Le Strange,Colonel,04.08.1984
318306436,Roddie,Rouby,Captain,19.08.1982
353706769,Aridatha,De Ruggiero,Sergeant,09.05.2002
383548055,Randie,Sich,Lieutenant,08.04.1980
257366591,Van,McFadden,Major,23.03.2003
368886633,Rustie,Hellsdon,Sergeant,25.05.1983
211190842,Matelda,Dimnage,Sergeant,04.07.1982
290969200,Eleanor,MacCallam,Corporal,29.08.1998
281580042,Hillery,Bendin,Private,04.02.1998
304268938,Kamila,Reynalds,General,03.04.1990
306475991,Dwight,Fishbie,General,04.11.1997
335829214,Judith,Estcourt,Sergeant,20.07.1985
325559062,Erwin,Le Friec,General,10.04.1988
371215742,Allyson,Panton,Corporal,29.03.1980
253206515,Dasha,Cuttell,Lieutenant,05.02.1992
235335126,Langsdon,Sawfoot,General,23.01.1994
369662083,Tania,Copson,Corporal,17.10.1992
347535911,Emanuele,Wheelwright,Lieutenant,07.03.1999
337933018,Isacco,Phebee,Lieutenant,05.01.1993
219833309,Nikolos,Corstan,Private,03.05.1996
395280480,Chan,Marusik,General,19.01.1986
305357497,Sheppard,Ritter,Captain,21.06.2002
250500388,Dannie,Novello,Corporal,26.06.1997
354769587,Quinn,Adan,Captain,14.06.2001
237419822,Jessamyn,Layburn,Lieutenant,06.12.1988
374802399,Melantha,Orable,Colonel,18.06.1982
377208276,Gustave,Adamovitch,Corporal,12.11.1992
222888385,Ajay,Peele,Lieutenant,01.02.1999
383836814,Isadora,Deluze,General,18.10.1985
287062738,Abelard,Overstreet,Captain,18.01.1986
285866795,Corie,Vallentin,Major,15.07.1989
385804654,Brig,Siddall,Colonel,06.03.1988
335984445,Tirrell,Pippard,Sergeant,19.09.1982
283858458,Zorina,Doghartie,General,16.08.1993
244257658,Anstice,Tander,Major,03.09.1988
335847080,Dudley,L'argent,Sergeant,14.09.1991
331728622,Junie,Klimuk,Sergeant,24.03.1980
311052814,Lorin,Lukehurst,Lieutenant,21.10.1984
233262480,Waiter,Truluck,Private,14.12.1982
208362687,Fernande,Henrion,General,09.10.2003
238447934,Benjamen,Biset,Captain,28.05.1989
279524736,Simona,Turnbull,Lieutenant,08.06.1994
272115809,Nils,Pinnigar,Lieutenant,15.06.1998
337080029,Alisun,Irnis,Private,06.07.1998
395651246,Dorey,Prestage,Corporal,13.07.1985
356650648,Stearne,Brandts,Corporal,31.10.1981
325413907,Michelina,Tanguy,Private,04.09.1992
270779920,Shelby,Vannini,Lieutenant,20.02.1980
281928641,Alberik,Rubinowitch,Private,21.08.1980
338229439,Daniella,Boxer,Major,05.12.2002
336686279,Agnes,Hurl,Private,07.02.1987
231274183,Kaila,Dooler,Colonel,14.11.1982
209698295,Liza,Bolton,Major,12.06.1991
265392648,Arnuad,Filkov,Captain,18.10.2001
236701923,Marcellina,Beekman,Lieutenant,05.11.1984
336272706,Neala,Skeffington,General,09.01.1996
352638775,Dedra,Selliman,Major,03.12.1989
256155234,Gonzalo,Lesmonde,Captain,11.06.1991
257746076,Hobard,Haggarth,Private,30.01.1980
375209729,Genni,Neathway,Corporal,11.12.2000
272987663,Pauli,Rider,Sergeant,03.01.1985
212878020,Fanechka,Troillet,Captain,09.11.1989
206651299,Gena,Wraith,Captain,09.05.2003
282561272,Pippo,Yesinin,Major,23.03.1988
228952988,Katheryn,Gurys,Colonel,23.06.1998
361783956,Preston,Elmes,Corporal,19.07.1988
370301271,Blancha,Howsam,Lieutenant,09.06.1981
334784654,Yasmeen,Ibbitson,Major,11.07.1983
230322450,Bryon,Dagger,Colonel,26.11.1983
241196716,Lester,Aspel,Major,04.05.1984
